动量值   学习速率 训练次数 第一层第二层  误差  测试误差 
0.010000 0.010000    500     20      0 0.068920 0.083057
0.010000 0.010000    500     20      0 0.061720 0.074743
0.010000 0.010000    500     20      0 0.068960 0.080914
0.010000 0.010000    500     20      0 0.060160 0.071800
0.010000 0.010000    500     20      0 0.066040 0.079029
0.010000 0.010000    500     20      0 0.062440 0.075229

0.010000 0.010000    500     40      0 0.054680 0.071229
0.010000 0.010000    500     40      0 0.052040 0.067486
0.010000 0.010000    500     40      0 0.046040 0.064686
0.010000 0.010000    500     40      0 0.053160 0.068829
0.010000 0.010000    500     40      0 0.050960 0.066114

0.010000 0.010000    500     60      0 0.054320 0.070086
0.010000 0.010000    500     60      0 0.049880 0.068257

0.010000 0.010000   1500     20      0 0.062400 0.077486
0.010000 0.010000   1500     20      0 0.057520 0.070229
0.010000 0.010000   1500     20      0 0.063600 0.075029
0.010000 0.010000   1500     20      0 0.060480 0.073543
0.010000 0.010000   1500     20      0 0.057680 0.069886

0.010000 0.010000   1500     40      0 0.043960 0.063286
0.010000 0.010000   1500     40      0 0.040320 0.064857
0.010000 0.010000   1500     40      0 0.042760 0.066029
0.010000 0.010000   1500     40      0 0.042920 0.067543
0.010000 0.010000   1500     40      0 0.044480 0.067114

0.010000 0.010000   1500     60      0 0.038240 0.064886
0.010000 0.010000   1500     60      0 0.035000 0.062429
0.010000 0.010000   1500     60      0 0.040240 0.064514
0.010000 0.010000   1500     60      0 0.034480 0.061314
0.010000 0.010000   1500     60      0 0.038640 0.064114

0.010000 0.010000   1500     80      0 0.034600 0.063000
0.010000 0.010000   1500     80      0 0.036960 0.063743
0.010000 0.010000   1500     80      0 0.035640 0.060943
0.010000 0.010000   1500     80      0 0.043680 0.067171
0.010000 0.010000   1500     80      0 0.037040 0.063314

0.010000 0.010000   1500    180      0 0.030840 0.060429
0.010000 0.010000   1500    140      0 0.033200 0.061829

0.010000 0.010000   1500    110      0 0.032400 0.059743
0.010000 0.010000   1500     90      0 0.033240 0.061229
0.010000 0.010000   1500     95      0 0.030960 0.059714
0.010000 0.010000   1500    105      0 0.035200 0.062314

0.010000 0.010000   1500    100      0 0.037360 0.061686
0.010000 0.010000   1500    100      0 0.037680 0.063057
0.010000 0.010000   1500    100      0 0.035560 0.062343
0.010000 0.010000   1500    100      0 0.035040 0.057743
0.010000 0.010000   1500    100      0 0.033120 0.062857
0.010000 0.010000   1500    100      0 0.033560 0.060486

0.010000 0.010000   1500    120      0 0.034200 0.063857
